rank,videoId,title,channelTitle,publishedAt,region,type,firstSeen,lastSeen,isTracking,url,viewHistory,hashtags,likeHistory,commentHistory,durationSeconds
16,sPvRWIC7fkg,【從零開始養】台灣致死毒菇!10種毒菇介紹!毒菇路邊有?第二高山大雪山尋毒菇?迷幻?拉肚子?路邊野菇能吃嗎?【許伯簡芝】,許伯&簡芝—倉鼠人,2025-09-12T13:08:22Z,TW,videos,2025-09-16,2025-09-16,TRUE,https://www.youtube.com/watch?v=sPvRWIC7fkg,"300,688",,9936,533,1041
17,imJIPfRp6_E,傻傻的Tota🤣  #ray #rayasianboy #kaicenat #kaicenatstream #mafiathon3 #totaamc #中文,MK翻譯,2025-09-12T04:00:56Z,TW,videos,2025-09-16,2025-09-16,TRUE,https://www.youtube.com/watch?v=imJIPfRp6_E,"298,669","#ray,#rayasianboy,#kaicenat,#kaicenatstream,#mafiathon3,#totaamc,#中文",7304,42,25
18,S9Cw7NzxXv8,美中防長、外長密集對話 台灣問題寸土不讓「護台」風向改變？ft.郭正亮、蔡正元【Yahoo TV#風向龍鳳配｜CC字幕】,Yahoo風向,2025-09-12T05:10:41Z,TW,videos,2025-09-16,2025-09-16,TRUE,https://www.youtube.com/watch?v=S9Cw7NzxXv8,"296,580","#郭正亮,#蔡正元,#唐湘龍,#陳鳳馨",14635,811,3971
19,gszeDSfysd0,八炯對戰小粉紅！說中文就該當中國人？ #shorts,攝徒日記Fun TV,2025-09-15T15:23:07Z,TW,videos,2025-09-16,2025-09-16,TRUE,https://www.youtube.com/watch?v=gszeDSfysd0,"271,033","#中國,#台灣,#八炯,#攝徒日記,#中共,#文昭,#公子沈,#波特王,#中配,#小粉紅,#文昭談古論今,#館長,#張堯,#大紀元,#新唐人,#關鍵時刻,#日本,#中國護照,#台灣護照,#入台證,#陸配",8390,606,35
20,i2Xvo4vg-Yw,iPhone 17 台灣沒有滿血版！17 項不能說的秘密,蘋果爹,2025-09-12T12:15:11Z,TW,videos,2025-09-16,2025-09-16,TRUE,https://www.youtube.com/watch?v=i2Xvo4vg-Yw,"262,497","#iphone17,#iphone17pro",2615,350,878
1,5v6Rj1OkIyM,黑衣已經做好防禦 #台灣 #台北 #搞笑 #迷因,小舞55,2025-09-12T03:15:19Z,TW,shorts,2025-09-16,2025-09-16,TRUE,https://www.youtube.com/watch?v=5v6Rj1OkIyM,"626,741","#台灣,#台北,#搞笑,#迷因",956,0,7
2,NQ03eZk16tk,U18世界盃》 台灣韓國銅牌戰 關鍵改判 #u18 #棒球,怪談盲盒,2025-09-14T10:15:03Z,TW,shorts,2025-09-16,2025-09-16,TRUE,https://www.youtube.com/watch?v=NQ03eZk16tk,"547,501",,4285,186,25
3,NpI5jqpLA_g,青天白日旗飛揚 加拿大恢復懸掛台灣國旗 台灣打贏中共 #台灣 #台灣人,世界看台灣,2025-09-12T13:20:00Z,TW,shorts,2025-09-16,2025-09-16,TRUE,https://www.youtube.com/watch?v=NpI5jqpLA_g,"506,570","#台灣,#台灣人",6530,401,22
4,p6iIAm8tX3o,【全台灣都在蛤】聽到Lulu陳漢典結婚 美甲師與客人瘋狂:蛤?!｜陳漢典｜Lulu｜結婚｜美甲｜客人｜震驚,udn video,2025-09-12T05:28:16Z,TW,shorts,2025-09-16,2025-09-16,TRUE,https://www.youtube.com/watch?v=p6iIAm8tX3o,"476,317","#陳漢典,#lulu,#結婚,#美甲,#客人,#震驚,#shorts,#社群熱搜,#news,#udn,#video",7141,415,46
5,jsPLGtL-CXI,柯克校園演講遇刺身亡　昔與中國學生辯論片段掀熱議｜#全民話燒,全民話燒,2025-09-13T01:00:53Z,TW,shorts,2025-09-16,2025-09-16,TRUE,https://www.youtube.com/watch?v=jsPLGtL-CXI,"398,341","#查理柯克,#charliekirk,#美國,#保守,#槍擊,#台灣,#獨立,#中共,#全民話燒",4548,415,38
6,Dfmgvkks0BE,就連傳奇音樂製作人Benny想跟Ray見一面👀#ray #rayasianboy #kaicenat #kaicenatstream #mafiathon3 #bennyblanco  #中文,MK翻譯,2025-09-13T04:00:12Z,TW,shorts,2025-09-16,2025-09-16,TRUE,https://www.youtube.com/watch?v=Dfmgvkks0BE,"351,102","#ray,#rayasianboy,#kaicenat,#kaicenatstream,#mafiathon3,#bennyblanco,#中文",8781,99,30
7,Pzc4enqWL6o,日本人高呼台灣挺台 力抗中共打壓 台灣人感動哭了 台日友好 #台灣 #台灣人,世界看台灣,2025-09-13T12:10:00Z,TW,shorts,2025-09-16,2025-09-16,TRUE,https://www.youtube.com/watch?v=Pzc4enqWL6o,"305,183","#台灣,#台灣人",6324,179,14
8,imJIPfRp6_E,傻傻的Tota🤣  #ray #rayasianboy #kaicenat #kaicenatstream #mafiathon3 #totaamc #中文,MK翻譯,2025-09-12T04:00:56Z,TW,shorts,2025-09-16,2025-09-16,TRUE,https://www.youtube.com/watch?v=imJIPfRp6_E,"298,669","#ray,#rayasianboy,#kaicenat,#kaicenatstream,#mafiathon3,#totaamc,#中文",7304,42,25
9,gszeDSfysd0,八炯對戰小粉紅！說中文就該當中國人？ #shorts,攝徒日記Fun TV,2025-09-15T15:23:07Z,TW,shorts,2025-09-16,2025-09-16,TRUE,https://www.youtube.com/watch?v=gszeDSfysd0,"271,033","#中國,#台灣,#八炯,#攝徒日記,#中共,#文昭,#公子沈,#波特王,#中配,#小粉紅,#文昭談古論今,#館長,#張堯,#大紀元,#新唐人,#關鍵時刻,#日本,#中國護照,#台灣護照,#入台證,#陸配",8391,606,35
10,VOP3RTPycj0,#數字台灣 2300萬台灣！超車13億印度！,數字台灣,2025-09-13T23:00:29Z,TW,shorts,2025-09-16,2025-09-16,TRUE,https://www.youtube.com/watch?v=VOP3RTPycj0,"232,766","#數字台灣,#謝金河",3434,114,51
1,SNr9z_BNyNM,Gabby Gelembung Sabun #funny #fyp #viral #shorts,VOSSTONN,2025-09-13T15:35:59Z,US,videos,2025-09-16,2025-09-16,TRUE,https://www.youtube.com/watch?v=SNr9z_BNyNM,"51,239,548","#funny,#fyp,#viral,#shorts",150602,42,6
2,tO8bhPHAWN0,The last moments of the greatest lion in history #viral #shorts #youtube #video,Animal sound edit,2025-09-12T12:49:14Z,US,videos,2025-09-16,2025-09-16,TRUE,https://www.youtube.com/watch?v=tO8bhPHAWN0,"34,236,159","#viral,#shorts,#youtube,#video",721394,4428,21
3,0Qe1XMBHejU,Wait for last #shorts #viralshorts #trending #thimingalam #whatsappstatus,Thimingalam ,2025-09-13T12:30:02Z,US,videos,2025-09-16,2025-09-16,TRUE,https://www.youtube.com/watch?v=0Qe1XMBHejU,"27,414,878","#shorts,#viralshorts,#trending,#thimingalam,#whatsappstatus",168356,18,26
4,IO6UPFJAqcA,"""7 in 1 best gujiya folding trick unlocked.""🤯😉🤪 #relatable #trending #shorts",Radhika Maroo,2025-09-12T08:31:00Z,US,videos,2025-09-16,2025-09-16,TRUE,https://www.youtube.com/watch?v=IO6UPFJAqcA,"11,747,360","#relatable,#trending,#shorts,#radhikamaroo",157562,668,22
5,KH9Cajuvlqg,Papa ne udas kar Diya ❤️🙏 #shorts #thebnbrothers #love #viral,The BN Brothers,2025-09-12T13:05:00Z,US,videos,2025-09-16,2025-09-16,TRUE,https://www.youtube.com/watch?v=KH9Cajuvlqg,"11,468,833","#shorts,#thebnbrothers,#love,#viral",0,0,20
6,oylkAv_OXEE,Jai Jai Shri Radhe Krishna ji...🤣🤣🤣🤣#youtubeshorts #trending #funny #comedy #keshav soni family,Keshav Soni Family,2025-09-12T05:41:08Z,US,videos,2025-09-16,2025-09-16,TRUE,https://www.youtube.com/watch?v=oylkAv_OXEE,"10,123,023","#youtubeshorts,#trending,#funny,#comedy,#keshav",12861,71,4
7,pdQnHX_FGHo,Tum Meri Photo Kyon Khinch Rahe Ho 🤑😡😰 #viral #movie #short,Gungun Shorts,2025-09-13T05:54:32Z,US,videos,2025-09-16,2025-09-16,TRUE,https://www.youtube.com/watch?v=pdQnHX_FGHo,"9,489,885","#viral,#movie,#short",0,35,34
8,dgtVaLAwsn4,Rajat Dalal talking about Carryminati 👀🔥||#ytshorts #rajatdalal #carryminati #trending,AJC podcast1,2025-09-13T09:44:13Z,US,videos,2025-09-16,2025-09-16,TRUE,https://www.youtube.com/watch?v=dgtVaLAwsn4,"9,328,646","#ytshorts,#rajatdalal,#carryminati,#trending,#salmankhan,#salman,#carryislive,#rajat,#youtubeshorts,#shortvideo,#shorts,#short,#shortsfeed",0,994,61
9,gzpm9u_QZZU,Olampik Me Gold Medal Jeetna Hai🔥💯 #trending #bollywood #shorts #viralmovie #Chanducampion #olampic,Bollwala Editz,2025-09-13T05:33:35Z,US,videos,2025-09-16,2025-09-16,TRUE,https://www.youtube.com/watch?v=gzpm9u_QZZU,"8,489,049","#trending,#bollywood,#shorts,#viralmovie,#chanducampion,#olampic,#trendings,#viral,#viralclips",200290,116,103
10,S-3p4JJmfzk,Allah ki madad #trending #yt_shorts #india #shortvideos #viral #shortsfeed,Leader In Islam ,2025-09-14T04:54:18Z,US,videos,2025-09-16,2025-09-16,TRUE,https://www.youtube.com/watch?v=S-3p4JJmfzk,"8,082,305","#trending,#yt_shorts,#india,#shortvideos,#viral,#shortsfeed",75153,23,20
11,6_0UOSZi3tY,"Shocking! Just cheese bait, mice drop into basket!? #cat #catandmouse #trending",Pet It Now,2025-09-13T06:30:02Z,US,videos,2025-09-16,2025-09-16,TRUE,https://www.youtube.com/watch?v=6_0UOSZi3tY,"7,912,462","#cat,#catandmouse,#trending",27432,225,6
12,VQyNXemX6R4,Choti ne bacha liya bahen ko jaan🔥 #comedy #funny #entertainment #trending #virelshorts #anayavideo,K7 the fun,2025-09-12T00:40:00Z,US,videos,2025-09-16,2025-09-16,TRUE,https://www.youtube.com/watch?v=VQyNXemX6R4,"7,615,178","#comedy,#funny,#entertainment,#trending,#virelshorts,#anayavideo",40830,7,21
13,jQKzHV3HKJE,Viral State Officer Pushed Army Colonel 🙏🏻🔥#indianarmy #shorts #armylife #viral #specialforces,Defence Duty ,2025-09-12T13:21:42Z,US,videos,2025-09-16,2025-09-16,TRUE,https://www.youtube.com/watch?v=jQKzHV3HKJE,"6,954,150",,175832,1433,27
14,qxGm14KEKYs,price 149sale shop sale market #shortvideo #video #trending #ytshorts #tiktokd‌,karan,2025-09-12T01:02:48Z,US,videos,2025-09-16,2025-09-16,TRUE,https://www.youtube.com/watch?v=qxGm14KEKYs,"6,894,612","#shortvideo,#video,#trending,#ytshorts,#tiktokd",12852,8,9
