rank,videoId,title,channelTitle,publishedAt,region,type,recordDate,url,viewCount,likeCount,commentCount,hashtags,durationSeconds
18,Bl64UYjozwk,Indian IAS Officer Exposes Dowry Demand in a Wedding 💪❤️ #ai #ias #shorts,Genius Feed,2025-09-10T12:12:12Z,TW,videos,2025-09-17,https://www.youtube.com/watch?v=Bl64UYjozwk,6589450,0,52,"#ai,#ias,#shorts",54
19,CzLYvJPkF-Q,Indian woman soldier saved all the passengers in the plane 😭 #ai #army #airplane #save,ai short time ,2025-09-12T13:31:25Z,TW,videos,2025-09-17,https://www.youtube.com/watch?v=CzLYvJPkF-Q,6396854,63317,34,"#ai,#army,#airplane,#save",23
20,hcM-EnDI3O8,القطه مياو رمت بسبوس من الطياره... #cat  #animation  #ai  #funny  #funnyvideo,Meowverse,2025-09-11T11:47:36Z,TW,videos,2025-09-17,https://www.youtube.com/watch?v=hcM-EnDI3O8,6193146,89826,470,"#cat,#animation,#ai,#funny,#funnyvideo",56
1,RM9-6FfZdgg,Shocking! The poor kitten has the Transformer !#shorts  #cat  #ai  #story  #kitten #autobots,kitten Storys,2025-09-14T06:15:03Z,TW,shorts,2025-09-17,https://www.youtube.com/watch?v=RM9-6FfZdgg,51408155,300055,106,,17
2,Kgnjwlgf32U,Indian Army officer Saved the Plane Passengers By Throwing the Unclaimed Bag#ai #army,kahani Buzz,2025-09-12T13:30:31Z,TW,shorts,2025-09-17,https://www.youtube.com/watch?v=Kgnjwlgf32U,36936667,691402,736,"#ai,#army",32
3,9Ixo2EgTlRE,The soldier saved passengers from aeroplane mid-air crisis! #ai #army #ytshorts,ETC BackLol Facts,2025-09-12T13:30:09Z,TW,shorts,2025-09-17,https://www.youtube.com/watch?v=9Ixo2EgTlRE,33010899,0,149,"#ai,#army,#ytshorts",20
4,DPq_GzN9hWU,बिल्लू का मिक्सी में बना जूस 🙀#catsoftiktok​ #cat​ #cute​ #aiart​ #ai​ #poorcat​ #catlover​ #fyp,Ankit 👑,2025-09-11T03:45:00Z,TW,shorts,2025-09-17,https://www.youtube.com/watch?v=DPq_GzN9hWU,26032162,0,51,"#catsoftiktok,#cat,#cute,#aiart,#ai,#poorcat,#catlover,#fyp,#top,#1million,#reels,#tiktok,#funny,#1m,#trend,#instagram,#shorts,#kitten,#wtf,#viral,#4,#relax,#spiderman,#philippines,#myanmar,#india,#mexico,#unitedstates,#cheating,#aicat,#cutecat,#4k,#catvelpictures,#cats,#catvel,#marvel",28
5,43mAAq1ErIY,"POV: You're fishing with your friends and a shark attacks one of them, he almost lost his life #ai",TREASURES OF THE OCEAN,2025-09-10T14:07:33Z,TW,shorts,2025-09-17,https://www.youtube.com/watch?v=43mAAq1ErIY,16919917,42280,180,#ai,11
6,IO01m122p1o,She Love's The Touch ❤️ pt2 #viral #shorts #ai #aisareedivas,AI Saree Divas,2025-09-10T13:57:11Z,TW,shorts,2025-09-17,https://www.youtube.com/watch?v=IO01m122p1o,15023106,42928,138,"#viral,#shorts,#ai,#aisareedivas",6
7,nrhrkDHdX9E,so cute HAHA ©️to the owner#ccto #eunwoo #ai  #youtube #youtubeshorts #trending #fypシ゚viral #astro,Eunwoocheee Fan 💫,2025-09-10T11:06:49Z,TW,shorts,2025-09-17,https://www.youtube.com/watch?v=nrhrkDHdX9E,9092516,90320,1619,"#ccto,#eunwoo,#ai,#youtube,#youtubeshorts,#trending,#fyp,#astro",6
8,8-v2UNQWqhU,The soldier saved pilot from airplane disaster in air! #ai #army #ytshorts,ETC BackLol Facts,2025-09-13T13:30:09Z,TW,shorts,2025-09-17,https://www.youtube.com/watch?v=8-v2UNQWqhU,8449799,0,24,"#ai,#army,#ytshorts",21
9,99nepSPkgfo,Phần 166: Capy và đám bạn nhảy hồ bơi #thientruongdaily #funny #ai #capybara,THIÊN TRƯỜNG DAILY,2025-09-11T10:33:38Z,TW,shorts,2025-09-17,https://www.youtube.com/watch?v=99nepSPkgfo,7765613,24678,114,"#thientruongdaily,#funny,#ai,#capybara",8
10,Av45KO6wW4o,Real life Vs AI. Part 21,Jiemba Sands,2025-09-12T13:00:31Z,TW,shorts,2025-09-17,https://www.youtube.com/watch?v=Av45KO6wW4o,7626841,187599,470,"#ai,#vs,#reallife",20
11,SLjMh8r9SMo,Husky Puppy's Clever Call for Help! 🐶👀 Mom Saved!...#ai #rescue #wildlife #animals,Catoo Mission,2025-09-10T17:27:16Z,TW,shorts,2025-09-17,https://www.youtube.com/watch?v=SLjMh8r9SMo,6960510,15064,13,"#ai,#rescue,#wildlife,#animals",8
12,v5hIeXLZims,😢RUMI was rescued by Mira and Zoey after the incident. #ai #kpop #funny #shorst #kpopdemonhunters,CuteVibes ,2025-09-11T19:00:53Z,TW,shorts,2025-09-17,https://www.youtube.com/watch?v=v5hIeXLZims,6921826,42134,15,"#ai,#kpop,#funny,#shorst,#kpopdemonhunters",20
13,U-WOsIR07Gs,The poor kitten and the Transformer Bumblebee save goldfish!#shorts #ai #cat#funny#cartoon#animation,kitten Storys,2025-09-11T07:30:13Z,TW,shorts,2025-09-17,https://www.youtube.com/watch?v=U-WOsIR07Gs,6892188,40998,15,,13
